tx_id,category,payment_method,country,amount_eur,ts
20260609-00-00000,books,wallet,NL,69.41,2026-06-09T04:57:00
20260609-00-00001,sports,wallet,FR,126.85,2026-06-09T17:40:00
20260609-00-00002,sports,transfer,BE,231.11,2026-06-09T18:10:00
20260609-00-00003,groceries,transfer,DE,214.6,2026-06-09T18:09:00
20260609-00-00004,home,card,ES,109.65,2026-06-09T22:33:00
20260609-00-00005,electronics,transfer,NL,20.48,2026-06-09T15:26:00
20260609-00-00006,sports,card,ES,140.21,2026-06-09T16:49:00
20260609-00-00007,books,wallet,BE,118.31,2026-06-09T09:20:00
20260609-00-00008,toys,cash,NL,209.69,2026-06-09T19:55:00
20260609-00-00009,sports,wallet,ES,191.26,2026-06-09T03:28:00
20260609-00-00010,sports,transfer,ES,75.87,2026-06-09T09:47:00
20260609-00-00011,toys,card,BE,28.07,2026-06-09T22:20:00
20260609-00-00012,toys,card,NL,66.66,2026-06-09T02:59:00
20260609-00-00013,fashion,transfer,BE,237.75,2026-06-09T16:48:00
20260609-00-00014,fashion,card,NL,226.92,2026-06-09T11:42:00
20260609-00-00015,toys,wallet,DE,154.71,2026-06-09T06:33:00
20260609-00-00016,books,wallet,FR,35.83,2026-06-09T20:36:00
20260609-00-00017,home,transfer,BE,246.57,2026-06-09T06:16:00
20260609-00-00018,fashion,transfer,IT,105.26,2026-06-09T18:18:00
20260609-00-00019,fashion,cash,ES,49.93,2026-06-09T22:26:00
20260609-00-00020,electronics,transfer,BE,14.79,2026-06-09T16:28:00
20260609-00-00021,home,wallet,IT,158.32,2026-06-09T04:59:00
20260609-00-00022,groceries,cash,DE,32.35,2026-06-09T23:16:00
20260609-00-00023,electronics,transfer,DE,221.59,2026-06-09T16:39:00
20260609-00-00024,home,wallet,IT,164.11,2026-06-09T19:13:00
20260609-00-00025,sports,wallet,DE,33.09,2026-06-09T16:58:00
20260609-00-00026,fashion,cash,BE,88.62,2026-06-09T19:30:00
20260609-00-00027,home,card,BE,213.33,2026-06-09T10:46:00
20260609-00-00028,sports,card,IT,24.3,2026-06-09T10:27:00
20260609-00-00029,groceries,cash,ES,206.75,2026-06-09T10:36:00
20260609-00-00030,toys,wallet,DE,150.94,2026-06-09T19:38:00
20260609-00-00031,fashion,card,FR,63.64,2026-06-09T10:46:00
20260609-00-00032,home,cash,ES,153.84,2026-06-09T02:14:00
20260609-00-00033,groceries,wallet,ES,139.54,2026-06-09T21:38:00
20260609-00-00034,electronics,transfer,IT,95.49,2026-06-09T18:48:00
20260609-00-00035,groceries,transfer,DE,132.84,2026-06-09T04:55:00
20260609-00-00036,electronics,wallet,FR,186.48,2026-06-09T04:54:00
20260609-00-00037,books,transfer,FR,90.28,2026-06-09T22:03:00
20260609-00-00038,groceries,cash,ES,88.64,2026-06-09T05:00:00
20260609-00-00039,home,cash,IT,132.88,2026-06-09T13:48:00
20260609-00-00040,electronics,cash,DE,90.65,2026-06-09T19:29:00
20260609-00-00041,electronics,card,FR,4.99,2026-06-09T10:43:00
20260609-00-00042,books,transfer,FR,135.96,2026-06-09T20:30:00
20260609-00-00043,fashion,card,IT,100.84,2026-06-09T19:04:00
20260609-00-00044,fashion,card,IT,137.8,2026-06-09T09:57:00
20260609-00-00045,books,cash,FR,147.54,2026-06-09T15:53:00
20260609-00-00046,books,transfer,DE,236.76,2026-06-09T06:05:00
20260609-00-00047,sports,card,ES,211.63,2026-06-09T04:06:00
20260609-00-00048,electronics,card,FR,23.56,2026-06-09T23:07:00
20260609-00-00049,books,transfer,ES,19.93,2026-06-09T10:07:00
20260609-00-00050,groceries,card,IT,218.33,2026-06-09T22:29:00
20260609-00-00051,books,transfer,BE,167.7,2026-06-09T03:44:00
20260609-00-00052,electronics,cash,BE,136.45,2026-06-09T18:23:00
20260609-00-00053,sports,wallet,FR,68.52,2026-06-09T19:12:00
20260609-00-00054,groceries,wallet,FR,165.79,2026-06-09T07:46:00
20260609-00-00055,sports,cash,ES,193.06,2026-06-09T14:42:00
20260609-00-00056,toys,card,NL,195.43,2026-06-09T20:31:00
20260609-00-00057,fashion,card,FR,156.56,2026-06-09T06:28:00
20260609-00-00058,books,transfer,NL,130.74,2026-06-09T12:07:00
